weight list after each iteration:
2.6718672027634054 -29.658270706170196 -7.294781411665158 -11.123570455986258 1.5854080504393138 
3.6048469571896313 -28.29952776387188 -6.138504907213494 -10.110918583893612 0.4975714176710022 
4.321088729592989 -26.87099400530314 -6.40069130938182 -12.351389405188332 0.9039347262710533 
5.573409097984039 -27.598552897206453 -13.340626114795048 -16.567817245762875 -0.45528090709650715 
6.459236343636113 -27.209574798566777 -13.677789868358463 -17.430537793739624 -1.22325542751812 
7.3651042670167985 -27.556146909712314 -15.728466289065947 -19.465889776559937 -1.8662159487230907 
8.284091052752157 -28.098917109864843 -18.359061239573304 -21.297592321165432 -2.4713292015100237 
9.095222868529007 -28.368671075481412 -19.95895460009277 -21.946054872149173 -2.9027944277991566 
9.739712380223194 -28.197118836192043 -20.241737218859566 -21.572066077851456 -3.323921833607816 
10.288914670647738 -27.78847596419501 -19.82653261982604 -21.187617053722615 -3.671114555736523 
10.786169796421508 -27.358034388020084 -19.336994735718743 -20.7671039127474 -3.980278446416464 
11.240661424561173 -26.91683773421291 -18.760597919981628 -20.246501054838163 -4.257532405857718 
11.648428052727729 -26.45344842115622 -18.04329471810472 -19.570007631351515 -4.4985530585436635 
12.004716253372688 -25.96930045983315 -17.1615981019091 -18.778485374947852 -4.694365732913574 
12.31965768796318 -25.487946969074954 -16.19410167318961 -17.906855244134523 -4.8496416644231 
12.602562822418522 -25.013121515777428 -15.177666317695634 -17.114475535889692 -4.968113815608746 
12.866963551937186 -24.56517065976921 -14.285145617081957 -16.55212040384766 -5.026190774581211 
13.11684789611211 -24.167325729418522 -13.618256693809926 -15.915878286947834 -4.865233955185851 
13.33263628826679 -23.758217932723984 -13.000521721054469 -15.59902311332945 -4.490321069540145 
13.533522342929674 -23.36257537211882 -12.866211306741462 -15.686120205652964 -4.210064340550544 
13.776261163398269 -23.116820515852346 -13.124957073942936 -16.135371737201275 -4.239620037781967 
14.077318981649672 -23.097561930320055 -13.776295332500553 -16.786288531444264 -4.41971527819785 
14.40106871067458 -23.22240240301349 -14.4243458035509 -17.040400804956924 -4.553824013069018 
14.639421411737981 -23.250072708283408 -14.605423361657211 -16.94999074604639 -4.631702357155993 
14.786454129501509 -23.110734375753044 -14.274887627816883 -16.411003638932097 -4.659350453850784 
14.860258407868349 -22.839014613703455 -13.402733084739094 -15.371043388364994 -4.619810908444724 
14.91648721693035 -22.531475029505536 -12.405468711164609 -15.032055648449937 -4.226218522685701 
14.97995540709255 -22.218923240097332 -12.412815904077037 -15.414511417316247 -3.9108328917618675 
15.135531139947451 -22.174703287704894 -13.110328041112696 -16.306840298922058 -4.1072915072645335 
15.410231142571963 -22.530425097974177 -14.4065409353259 -17.4301481857567 -4.3582851341544275 
15.701177665272962 -22.95970703375073 -15.326458592586535 -17.960525787844126 -4.490133834405166 
15.900112333324321 -23.145359718699353 -15.662269071902024 -17.64116868487327 -4.515937964619037 
15.938074547897804 -22.990593601574044 -14.89593143792349 -16.811694273079706 -4.532711742973247 
15.95018426690187 -22.752425840021814 -13.888496984075962 -15.966207395082975 -4.5442509912803075 
15.966564587900372 -22.50194209728876 -12.884071277514256 -15.099751624687483 -4.177623564290294 
15.980751631628854 -22.229059549443612 -12.0342337743864 -14.786455905870849 -3.7966630683102407 
16.008860237797634 -21.982110629762648 -12.131250020015887 -15.232572547596828 -3.4794251652885797 
16.131487357554782 -21.980153699873675 -12.807643073061158 -16.031825557716353 -3.6983386874559963 
16.35110365731563 -22.324400155144993 -13.936706911169681 -17.10110946278992 -3.9702629749963627 
16.615281977914957 -22.832559707965412 -14.983180550850072 -17.961526346197765 -4.197639721210257 
16.847977325269387 -23.248943468813813 -15.752785141473241 -18.159772298723105 -4.2991230807277425 
16.968003769459163 -23.369568242762988 -15.71527914755794 -17.80800964193199 -4.328714370457502 
16.98630627916632 -23.226527136766045 -14.95281364788191 -16.981763958967413 -4.346905745971532 
16.982312650602925 -23.00430881716089 -13.948620773497511 -16.146553238733308 -4.360323786113051 
