weight list after each iteration:
0.04103188478533404 -13.532152404792676 -9.001096779471242 -8.135005345311102 -1.8862864693266772 
0.6523197365363418 -13.06660305977955 -7.521304872836744 -8.856840169669454 -2.033880037369865 
1.1888555766466653 -13.106494036324397 -8.130272828780514 -9.088177994377613 -2.158066205992137 
1.6604916341398752 -13.000737656684692 -8.341813791483371 -9.11804677390641 -2.2693963541952513 
2.0863654531584803 -12.830283026650411 -8.35862638025406 -9.059613163959558 -2.366688219333986 
2.477021423006091 -12.639818965391566 -8.306607574478058 -8.993176971030561 -2.448465999111228 
2.83959493580031 -12.454003586946975 -8.248676948744254 -8.931024942979517 -2.5174762754686757 
3.176436479924108 -12.277378590340888 -8.190852284772244 -8.869347177983302 -2.575893380188334 
3.488407339236827 -12.110314270075321 -8.12854064622281 -8.804189831970113 -2.6243183093362124 
3.77606648856614 -11.95289016680464 -8.057673126043502 -8.733017511801343 -2.6626496707285305 
4.040225664726951 -11.804907872768062 -7.975643575122719 -8.65481991186523 -2.6911254692861597 
4.282312665015873 -11.665908243169467 -7.881855257550867 -8.569779046128122 -2.7106760832486656 
4.50426038712824 -11.535278350114176 -7.77743026285656 -8.478649117380781 -2.7225950384127615 
4.708108994442731 -11.412298565952739 -7.664178257254727 -8.382339345267603 -2.7280808285367497 
4.8957103405507265 -11.296214518139756 -7.543900609368919 -8.281886668065267 -2.728009547871224 
5.06866359170933 -11.186346843157375 -7.418332794096778 -8.178529940580592 -2.722910345058516 
5.228369713368889 -11.082144427818129 -7.289302100011492 -8.07364821944985 -2.712962040865729 
5.376078700180379 -10.983132561209747 -7.158797752971073 -7.968605945730932 -2.6978645179555354 
5.512884541581661 -10.888792563042607 -7.0289934428450795 -7.8647377740995 -2.676564089253793 
5.639693388733882 -10.798476681755416 -6.902385867372297 -7.7637378047644665 -2.647130910969741 
5.757253726629547 -10.711523450899634 -6.782019110047307 -7.668288136928664 -2.607540048520984 
5.86633697983118 -10.627657706064923 -6.671340720860354 -7.581659828397236 -2.557584714515618 
5.967915275022591 -10.547266409956046 -6.57305534690468 -7.505548196202291 -2.5000048783110507 
